bus_name,lat,lon
Bus 1,19.986264,73.7532875
Bus 1,19.9862897,73.7532997
Bus 1,19.986537,73.7534171
Bus 1,19.9869769,73.7536259
Bus 1,19.9871595,73.7537125
Bus 1,19.9870917,73.7538715
Bus 1,19.9869196,73.7542755
Bus 1,19.9875438,73.7547546
Bus 1,19.9874481,73.7549206
Bus 1,19.9875258,73.7552369
Bus 1,19.9873974,73.7555499
Bus 1,19.9873164,73.7557293
Bus 1,19.9872434,73.755891
Bus 1,19.987219,73.7559452
Bus 1,19.9871142,73.7561774
Bus 1,19.9869842,73.7564655
Bus 1,19.9868253,73.7568305
Bus 1,19.9867618,73.756981
Bus 1,19.9864786,73.7576258
Bus 1,19.9864482,73.7577045
Bus 1,19.9884633,73.7602235
Bus 1,19.9891098,73.7610295
Bus 1,19.9893138,73.7612811
Bus 1,19.990604,73.762958
Bus 1,19.9907366,73.7631679
Bus 1,19.9908505,73.7633483
Bus 1,19.9909267,73.7634708
Bus 1,19.990844,73.7635355
Bus 1,19.9906548,73.7637345
Bus 1,19.9893257,73.76651
Bus 1,19.9891744,73.7664588
Bus 1,19.9899912,73.7644489
Bus 1,19.9907689,73.7634121
Bus 1,19.9908505,73.7633483
Bus 1,19.9909545,73.760122
Bus 1,19.9910626,73.7601254
Bus 1,19.9911174,73.7616758
Bus 1,19.9917641,73.7616632
Bus 1,19.9925091,73.7616672
Bus 1,19.9928758,73.7616835
Bus 1,19.9925091,73.7616672
Bus 1,19.9925077,73.7621154
Bus 1,19.992507,73.762359
Bus 1,19.9925053,73.7629031
Bus 1,19.9921657,73.7629092
Bus 1,19.991766,73.7629117
Bus 1,19.9911803,73.7629355
Bus 1,19.9911957,73.7631493
Bus 1,19.9909267,73.7634708
Bus 1,19.990844,73.7635355
Bus 1,19.9906548,73.7637345
Bus 1,19.9893257,73.76651
Bus 1,19.988742,73.7675693
Bus 1,19.9877921,73.7691896
Bus 1,19.9870309,73.7704594
Bus 1,19.9871049,73.7707631
Bus 1,19.9875413,73.7707413
Bus 1,19.9875795,73.7727258
Bus 1,19.9875413,73.7707413
Bus 1,19.9871049,73.7707631
Bus 1,19.9868366,73.7707836
Bus 1,19.9867238,73.7707389
Bus 1,19.9868602,73.7705492
Bus 1,19.9857442,73.7703121
Bus 1,19.9858743,73.7697041
Bus 1,19.9857442,73.7703121
Bus 1,19.9856701,73.770737
Bus 1,19.9865671,73.7709905
Bus 1,19.9867238,73.7707389
Bus 1,19.9868366,73.7707836
Bus 1,19.9871049,73.7707631
Bus 1,19.9875413,73.7707413
Bus 1,19.9884857,73.7707643
Bus 1,19.9885148,73.7702718
Bus 1,19.9909521,73.7691009
Bus 1,19.9885148,73.7702718
Bus 1,19.9884857,73.7707643
Bus 1,19.9911411,73.7726299
Bus 1,19.9917577,73.7729284
Bus 1,19.9918949,73.7730105
